"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa"
"85",162,"Paraiso sombrilla","27/02/2012 17:30","Bajo (2 - 4 mts)",80,"Grande",-68.8570880942,-32.8641579352,6,"Residencial Norte",2694682.37982,0
"86",165,"Paraiso","27/02/2012 17:23","Medio (4 - 8 mts)",60,"Mediano",-68.8568438587,-32.8641461494,6,"Residencial Norte",2694682.37982,0
"87",166,"Paraiso","27/02/2012 17:20","Bajo (2 - 4 mts)",50,"Mediano",-68.8567592135,-32.8641420301,6,"Residencial Norte",2694682.37982,0
"88",170,"Paraiso","26/02/2012 19:56","Medio (4 - 8 mts)",60,"Mediano",-68.8566366649,-32.8643478911,6,"Residencial Norte",2694682.37982,0
"89",172,"Paraiso sombrilla","26/02/2012 19:53","Bajo (2 - 4 mts)",46,"Mediano",-68.8566542225,-32.8645104625,6,"Residencial Norte",2694682.37982,0
"90",173,"Paraiso sombrilla","26/02/2012 19:50","Bajo (2 - 4 mts)",40,"Mediano",-68.8567490006,-32.8645912485,6,"Residencial Norte",2694682.37982,0
"91",177,"Fresno europeo","26/02/2012 19:44","Bajo (2 - 4 mts)",40,"Mediano",-68.8570554083,-32.8646059999,6,"Residencial Norte",2694682.37982,0
"92",179,"Braquiquito","26/02/2012 19:40","Medio (4 - 8 mts)",54,"Mediano",-68.8571762698,-32.8646124751,6,"Residencial Norte",2694682.37982,0
"93",180,"Morera","26/02/2012 19:39","Bajo (2 - 4 mts)",44,"Mediano",-68.8572069582,-32.8646130845,6,"Residencial Norte",2694682.37982,0
"94",182,"Morera","24/02/2012 11:33","Bajo (2 - 4 mts)",50,"Mediano",-68.8572935648,-32.8646183608,6,"Residencial Norte",2694682.37982,0
"95",186,"Morera","24/02/2012 11:26","Bajo (2 - 4 mts)",26,"Mediano",-68.8575959693,-32.864633138,6,"Residencial Norte",2694682.37982,0
"96",187,"Morera","24/02/2012 11:24","Bajo (2 - 4 mts)",48,"Mediano",-68.8576696196,-32.8646360973,6,"Residencial Norte",2694682.37982,0
"97",193,"Tilo","24/02/2012 11:08","Bajo (2 - 4 mts)",14,"Chico",-68.8581957622,-32.8646641135,6,"Residencial Norte",2694682.37982,0
"98",194,"Acer","24/02/2012 11:06","Bajo (2 - 4 mts)",30,"Mediano",-68.858256053,-32.8646670294,6,"Residencial Norte",2694682.37982,0
"99",195,"Fresno americano","24/02/2012 11:04","Bajo (2 - 4 mts)",22,"Mediano",-68.8582956045,-32.8646687008,6,"Residencial Norte",2694682.37982,0
"100",199,"Fresno americano","24/02/2012 10:41","Bajo (2 - 4 mts)",28,"Mediano",-68.8584021085,-32.8644803013,6,"Residencial Norte",2694682.37982,0
"101",200,"Morera","24/02/2012 10:39","Bajo (2 - 4 mts)",26,"Mediano",-68.8583997538,-32.8644385862,6,"Residencial Norte",2694682.37982,0
"102",204,"Morera","06/03/2012 10:26","Alto (> 8 mts)",130,"Grande",-68.8393721078,-32.8705776557,4,"Cuarta Oeste",1173332.70145,1
"103",211,"Fresno americano","06/03/2012 10:13","Medio (4 - 8 mts)",40,"Mediano",-68.8392752324,-32.8702071153,4,"Cuarta Oeste",1173332.70145,1
"104",213,"Morera","06/03/2012 10:05","Alto (> 8 mts)",180,"Grande",-68.839244618,-32.8700981206,4,"Cuarta Oeste",1173332.70145,0
"105",215,"Pltano","06/03/2012 10:03","Alto (> 8 mts)",200,"Grande",-68.8389727497,-32.8699815525,4,"Cuarta Oeste",1173332.70145,0
"106",216,"Fresno europeo","06/03/2012 10:01","Bajo (2 - 4 mts)",18,"Chico",-68.8388720729,-32.8699760145,4,"Cuarta Oeste",1173332.70145,0
"107",217,"Fresno europeo","06/03/2012 10:00","Bajo (2 - 4 mts)",18,"Chico",-68.8388182088,-32.8699721589,4,"Cuarta Oeste",1173332.70145,0
"108",219,"Pltano","06/03/2012 09:56","Alto (> 8 mts)",180,"Grande",-68.8386777703,-32.8699654865,4,"Cuarta Oeste",1173332.70145,0
"109",222,"Fresno europeo","06/03/2012 09:49","Alto (> 8 mts)",125,"Grande",-68.8384548507,-32.8699559989,4,"Cuarta Oeste",1173332.70145,0
"110",223,"Fresno europeo","06/03/2012 09:48","Muy bajo (1 - 2 mts)",16,"Chico",-68.8383855905,-32.8699559094,4,"Cuarta Oeste",1173332.70145,0
"111",224,"Pltano","06/03/2012 09:46","Alto (> 8 mts)",200,"Grande",-68.8383028656,-32.8699520163,4,"Cuarta Oeste",1173332.70145,0
"112",226,"Fresno americano","06/03/2012 09:44","Medio (4 - 8 mts)",118,"Grande",-68.8380796956,-32.8699463184,4,"Cuarta Oeste",1173332.70145,0
"113",230,"Morera","06/03/2012 09:39","Medio (4 - 8 mts)",120,"Grande",-68.8380983294,-32.8702159238,4,"Cuarta Oeste",1173332.70145,1
"114",232,"Paraiso","06/03/2012 09:35","Medio (4 - 8 mts)",90,"Grande",-68.8381238125,-32.8703090495,4,"Cuarta Oeste",1173332.70145,0
"115",233,"Morera","06/03/2012 09:34","Medio (4 - 8 mts)",70,"Grande",-68.838138476,-32.8703616535,4,"Cuarta Oeste",1173332.70145,1
"116",234,"Pltano","06/03/2012 09:32","Alto (> 8 mts)",165,"Grande",-68.8381569483,-32.8704309717,4,"Cuarta Oeste",1173332.70145,0
"117",235,"Pltano","06/03/2012 09:31","Alto (> 8 mts)",170,"Grande",-68.8381639122,-32.8704812818,4,"Cuarta Oeste",1173332.70145,0
"118",240,"Pltano","06/03/2012 09:22","Alto (> 8 mts)",190,"Grande",-68.8385866556,-32.8705625296,4,"Cuarta Oeste",1173332.70145,0
"119",242,"Pltano","06/03/2012 09:20","Alto (> 8 mts)",138,"Grande",-68.8387310619,-32.8705730005,4,"Cuarta Oeste",1173332.70145,0
"120",245,"Pltano","06/03/2012 09:16","Alto (> 8 mts)",165,"Grande",-68.8389966337,-32.8705933864,4,"Cuarta Oeste",1173332.70145,0
"121",246,"Pltano","06/03/2012 09:15","Alto (> 8 mts)",168,"Grande",-68.8390639607,-32.8706005035,4,"Cuarta Oeste",1173332.70145,0
"122",247,"Pltano","06/03/2012 09:13","Alto (> 8 mts)",160,"Grande",-68.8391601435,-32.8706087407,4,"Cuarta Oeste",1173332.70145,0
"123",248,"Olmo bola","06/03/2012 09:11","Medio (4 - 8 mts)",90,"Grande",-68.8393277792,-32.8706203274,4,"Cuarta Oeste",1173332.70145,0
"124",250,"Morera","07/03/2012 11:57","Muy bajo (1 - 2 mts)",4,"Chico",-68.8223482065,-32.8669830912,4,"Cuarta Este Área Fundacional",1822015.85685,0
"125",252,"Morera","07/03/2012 11:53","Muy bajo (1 - 2 mts)",4,"Chico",-68.822199023,-32.8669862615,4,"Cuarta Este Área Fundacional",1822015.85685,0
"126",259,"Fresno europeo","07/03/2012 11:39","Muy bajo (1 - 2 mts)",12,"Chico",-68.8220074972,-32.8668966448,4,"Cuarta Este Área Fundacional",1822015.85685,0
"127",260,"Fresno europeo","07/03/2012 11:38","Medio (4 - 8 mts)",130,"Grande",-68.8220845592,-32.8668629328,4,"Cuarta Este Área Fundacional",1822015.85685,0
"128",262,"Fresno europeo","07/03/2012 11:35","Medio (4 - 8 mts)",140,"Grande",-68.822237089,-32.8667900952,4,"Cuarta Este Área Fundacional",1822015.85685,0
"129",263,"Fresno europeo","07/03/2012 11:34","Bajo (2 - 4 mts)",14,"Chico",-68.8223245902,-32.8667496333,4,"Cuarta Este Área Fundacional",1822015.85685,0
"130",265,"Olmo bola","07/03/2012 11:12","Medio (4 - 8 mts)",100,"Grande",-68.8224916781,-32.8667139353,4,"Cuarta Este Área Fundacional",1822015.85685,0
"131",266,"Morera","07/03/2012 11:10","Medio (4 - 8 mts)",104,"Grande",-68.8225027702,-32.8667822706,4,"Cuarta Este Área Fundacional",1822015.85685,0
"132",268,"Paraiso sombrilla","07/03/2012 11:07","Medio (4 - 8 mts)",150,"Grande",-68.8225191763,-32.8669136618,4,"Cuarta Este Área Fundacional",1822015.85685,0
"133",272,"Morera","07/03/2012 09:07","Alto (> 8 mts)",135,"Grande",-68.8214511411,-32.8673961887,4,"Cuarta Este Área Fundacional",1822015.85685,1
"134",277,"Morera","07/03/2012 08:53","Alto (> 8 mts)",180,"Grande",-68.8214768818,-32.8676252287,4,"Cuarta Este Área Fundacional",1822015.85685,0
"135",278,"Morera","07/03/2012 08:51","Alto (> 8 mts)",160,"Grande",-68.8214852233,-32.8676646961,4,"Cuarta Este Área Fundacional",1822015.85685,0
"136",283,"Morera","07/03/2012 08:42","Alto (> 8 mts)",180,"Grande",-68.8217530143,-32.8677780855,4,"Cuarta Este Área Fundacional",1822015.85685,1
"137",284,"Morera","06/03/2012 10:47","Alto (> 8 mts)",110,"Grande",-68.8218138388,-32.8677742263,4,"Cuarta Este Área Fundacional",1822015.85685,0
"138",291,"Morera","06/03/2012 10:38","Alto (> 8 mts)",115,"Grande",-68.8222434259,-32.8677637637,4,"Cuarta Este Área Fundacional",1822015.85685,0
"139",292,"Morera","06/03/2012 10:37","Alto (> 8 mts)",160,"Grande",-68.8223463635,-32.8677552293,4,"Cuarta Este Área Fundacional",1822015.85685,0
"140",293,"Morera","05/03/2012 13:35","Alto (> 8 mts)",110,"Grande",-68.8224812194,-32.8677514353,4,"Cuarta Este Área Fundacional",1822015.85685,0
"141",296,"Fresno europeo","05/03/2012 13:32","Bajo (2 - 4 mts)",100,"Grande",-68.8226135503,-32.8676339708,4,"Cuarta Este Área Fundacional",1822015.85685,0
"142",297,"Fresno europeo","05/03/2012 13:30","Medio (4 - 8 mts)",140,"Grande",-68.8226052434,-32.8675699189,4,"Cuarta Este Área Fundacional",1822015.85685,0
"143",299,"Paraiso sombrilla","05/03/2012 13:26","Bajo (2 - 4 mts)",30,"Mediano",-68.8225905469,-32.8674061891,4,"Cuarta Este Área Fundacional",1822015.85685,0
"144",306,"Fresno europeo","05/03/2012 13:14","Medio (4 - 8 mts)",105,"Grande",-68.8224011128,-32.8671097264,4,"Cuarta Este Área Fundacional",1822015.85685,0
"145",308,"Fresno europeo","05/03/2012 13:06","Alto (> 8 mts)",130,"Grande",-68.8222502473,-32.8671150395,4,"Cuarta Este Área Fundacional",1822015.85685,1
"146",310,"Fresno europeo","05/03/2012 13:01","Medio (4 - 8 mts)",100,"Grande",-68.8221491965,-32.8671164738,4,"Cuarta Este Área Fundacional",1822015.85685,0
"147",311,"Acer","05/03/2012 12:57","Medio (4 - 8 mts)",120,"Grande",-68.8220301975,-32.8671218446,4,"Cuarta Este Área Fundacional",1822015.85685,0
"148",313,"Fresno europeo","05/03/2012 12:52","Medio (4 - 8 mts)",35,"Mediano",-68.8218158077,-32.8671278738,4,"Cuarta Este Área Fundacional",1822015.85685,0
"149",316,"Morera","05/03/2012 12:42","Medio (4 - 8 mts)",65,"Grande",-68.8216023808,-32.86713706,4,"Cuarta Este Área Fundacional",1822015.85685,0
"150",317,"lamo criollo","05/03/2012 12:41","Alto (> 8 mts)",280,"Grande",-68.8215088145,-32.8671385045,4,"Cuarta Este Área Fundacional",1822015.85685,0
"151",320,"Morera","07/03/2012 11:02","Medio (4 - 8 mts)",150,"Grande",-68.8201615859,-32.867324059,4,"Cuarta Este Área Fundacional",1822015.85685,0
"152",321,"Morera","07/03/2012 11:00","Medio (4 - 8 mts)",100,"Grande",-68.8201676123,-32.8673816309,4,"Cuarta Este Área Fundacional",1822015.85685,0
"153",322,"Morera","07/03/2012 10:40","Medio (4 - 8 mts)",150,"Grande",-68.8201777076,-32.8674740195,4,"Cuarta Este Área Fundacional",1822015.85685,0
"154",324,"Morera","07/03/2012 10:36","Medio (4 - 8 mts)",140,"Grande",-68.8202026342,-32.867659569,4,"Cuarta Este Área Fundacional",1822015.85685,0
"155",326,"Paraiso sombrilla","07/03/2012 10:33","Medio (4 - 8 mts)",64,"Grande",-68.8202140935,-32.8677569901,4,"Cuarta Este Área Fundacional",1822015.85685,0
"156",329,"Perenne","07/03/2012 10:29","Muy bajo (1 - 2 mts)",6,"Chico",-68.8204708199,-32.8678122025,4,"Cuarta Este Área Fundacional",1822015.85685,0
"157",330,"Paraiso sombrilla","07/03/2012 10:21","Medio (4 - 8 mts)",180,"Grande",-68.8205439381,-32.8678099955,4,"Cuarta Este Área Fundacional",1822015.85685,0
"158",331,"Fresno americano","07/03/2012 10:18","Bajo (2 - 4 mts)",20,"Chico",-68.8205821625,-32.8678083236,4,"Cuarta Este Área Fundacional",1822015.85685,0
"159",332,"Caducifolio","07/03/2012 10:16","Muy bajo (1 - 2 mts)",4,"Chico",-68.8206314205,-32.8678089443,4,"Cuarta Este Área Fundacional",1822015.85685,0
"160",333,"Caducifolio","07/03/2012 10:15","Muy bajo (1 - 2 mts)",4,"Chico",-68.8206689621,-32.8678072704,4,"Cuarta Este Área Fundacional",1822015.85685,0
"161",334,"Jacarand","07/03/2012 10:08","Bajo (2 - 4 mts)",28,"Mediano",-68.8207051393,-32.8678055955,4,"Cuarta Este Área Fundacional",1822015.85685,0
"162",337,"Morera","07/03/2012 09:56","Medio (4 - 8 mts)",80,"Grande",-68.8209340192,-32.8677989785,4,"Cuarta Este Área Fundacional",1822015.85685,0
"163",338,"Morera","07/03/2012 09:54","Medio (4 - 8 mts)",110,"Grande",-68.8210036415,-32.8677961999,4,"Cuarta Este Área Fundacional",1822015.85685,0
"164",339,"Morera","07/03/2012 09:53","Bajo (2 - 4 mts)",36,"Mediano",-68.8211035386,-32.8677955611,4,"Cuarta Este Área Fundacional",1822015.85685,0
"165",341,"Morera","07/03/2012 09:50","Medio (4 - 8 mts)",110,"Grande",-68.8212466236,-32.8677897522,4,"Cuarta Este Área Fundacional",1822015.85685,0
"166",342,"Morera","07/03/2012 09:48","Medio (4 - 8 mts)",120,"Grande",-68.8213364357,-32.8677165205,4,"Cuarta Este Área Fundacional",1822015.85685,0
"167",347,"Morera","07/03/2012 09:35","Medio (4 - 8 mts)",46,"Mediano",-68.8212954675,-32.8673676947,4,"Cuarta Este Área Fundacional",1822015.85685,0
